SubjectLabel,SubjectID,DirectionCount,EvaluationDirectionCount,HorizontalDirectionCount,AllFinite
P0001,1,14,743,68,1
P0001,1,26,743,68,1
P0001,1,50,743,68,1
P0012,12,14,743,68,1
P0012,12,26,743,68,1
P0012,12,50,743,68,1
P0013,13,14,743,68,1
P0013,13,26,743,68,1
P0013,13,50,743,68,1
P0022,22,14,743,68,1
P0022,22,26,743,68,1
P0022,22,50,743,68,1
P0026,26,14,743,68,1
P0026,26,26,743,68,1
P0026,26,50,743,68,1
P0046,46,14,743,68,1
P0046,46,26,743,68,1
P0046,46,50,743,68,1
P0066,66,14,743,68,1
P0066,66,26,743,68,1
P0066,66,50,743,68,1
P0073,73,14,743,68,1
P0073,73,26,743,68,1
P0073,73,50,743,68,1
P0113,113,14,743,68,1
P0113,113,26,743,68,1
P0113,113,50,743,68,1
P0116,116,14,743,68,1
P0116,116,26,743,68,1
P0116,116,50,743,68,1
P0125,125,14,743,68,1
P0125,125,26,743,68,1
P0125,125,50,743,68,1
P0149,149,14,743,68,1
P0149,149,26,743,68,1
P0149,149,50,743,68,1
P0161,161,14,743,68,1
P0161,161,26,743,68,1
P0161,161,50,743,68,1
P0166,166,14,743,68,1
P0166,166,26,743,68,1
P0166,166,50,743,68,1
P0167,167,14,743,68,1
P0167,167,26,743,68,1
P0167,167,50,743,68,1
P0170,170,14,743,68,1
P0170,170,26,743,68,1
P0170,170,50,743,68,1
P0171,171,14,743,68,1
P0171,171,26,743,68,1
P0171,171,50,743,68,1
P0172,172,14,743,68,1
P0172,172,26,743,68,1
P0172,172,50,743,68,1
P0174,174,14,743,68,1
P0174,174,26,743,68,1
P0174,174,50,743,68,1
P0193,193,14,743,68,1
P0193,193,26,743,68,1
P0193,193,50,743,68,1
P0194,194,14,743,68,1
P0194,194,26,743,68,1
P0194,194,50,743,68,1
P0198,198,14,743,68,1
P0198,198,26,743,68,1
P0198,198,50,743,68,1
P0202,202,14,743,68,1
P0202,202,26,743,68,1
P0202,202,50,743,68,1
P0203,203,14,743,68,1
P0203,203,26,743,68,1
P0203,203,50,743,68,1
P0207,207,14,743,68,1
P0207,207,26,743,68,1
P0207,207,50,743,68,1
P0208,208,14,743,68,1
P0208,208,26,743,68,1
P0208,208,50,743,68,1
P0221,221,14,743,68,1
P0221,221,26,743,68,1
P0221,221,50,743,68,1
P0230,230,14,743,68,1
P0230,230,26,743,68,1
P0230,230,50,743,68,1
P0242,242,14,743,68,1
P0242,242,26,743,68,1
P0242,242,50,743,68,1
P0256,256,14,743,68,1
P0256,256,26,743,68,1
P0256,256,50,743,68,1
P0257,257,14,743,68,1
P0257,257,26,743,68,1
P0257,257,50,743,68,1
P0274,274,14,743,68,1
P0274,274,26,743,68,1
P0274,274,50,743,68,1
P0277,277,14,743,68,1
P0277,277,26,743,68,1
P0277,277,50,743,68,1
P0278,278,14,743,68,1
P0278,278,26,743,68,1
P0278,278,50,743,68,1
P0294,294,14,743,68,1
P0294,294,26,743,68,1
P0294,294,50,743,68,1
P0295,295,14,743,68,1
P0295,295,26,743,68,1
P0295,295,50,743,68,1
P0307,307,14,743,68,1
P0307,307,26,743,68,1
P0307,307,50,743,68,1
P0313,313,14,743,68,1
P0313,313,26,743,68,1
P0313,313,50,743,68,1
P0335,335,14,743,68,1
P0335,335,26,743,68,1
P0335,335,50,743,68,1
P0338,338,14,743,68,1
P0338,338,26,743,68,1
P0338,338,50,743,68,1
P0341,341,14,743,68,1
P0341,341,26,743,68,1
P0341,341,50,743,68,1
P0354,354,14,743,68,1
P0354,354,26,743,68,1
P0354,354,50,743,68,1
P0360,360,14,743,68,1
P0360,360,26,743,68,1
P0360,360,50,743,68,1
P0369,369,14,743,68,1
P0369,369,26,743,68,1
P0369,369,50,743,68,1
