SubjectLabel,SubjectID,InterpolationDirectionCount
P0001,1,767
P0012,12,767
P0013,13,767
P0022,22,767
P0026,26,767
P0046,46,767
P0066,66,767
P0073,73,767
P0113,113,767
P0116,116,767
P0125,125,767
P0149,149,767
P0161,161,767
P0166,166,767
P0167,167,767
P0170,170,767
P0171,171,767
P0172,172,767
P0174,174,767
P0193,193,767
P0194,194,767
P0198,198,767
P0202,202,767
P0203,203,767
P0207,207,767
P0208,208,767
P0221,221,767
P0230,230,767
P0242,242,767
P0256,256,767
P0257,257,767
P0274,274,767
P0277,277,767
P0278,278,767
P0294,294,767
P0295,295,767
P0307,307,767
P0313,313,767
P0335,335,767
P0338,338,767
P0341,341,767
P0354,354,767
P0360,360,767
P0369,369,767
